Pagine principali,Clic,Impressioni,CTR,Posizione
https://matteogaruzzo.com/,11,6091,0.18%,12.11
https://matteogaruzzo.com/blog/ecommerce-per-frantoi,7,544,1.29%,8.69
https://matteogaruzzo.com/blog/gestione-fiscale-ecommerce-vino-iva-fatturazione,4,134,2.99%,11.01
https://matteogaruzzo.com/blog/ecommerce-vino-margini-vendita-diretta,3,29,10.34%,4.34
https://matteogaruzzo.com/blog/siti-web-per-agriturismi,2,145,1.38%,10.36
https://matteogaruzzo.com/chi-sono,2,54,3.7%,4.83
https://matteogaruzzo.com/termini-e-condizioni,2,24,8.33%,9.29
https://matteogaruzzo.com/blog/software-per-agriturismi,1,395,0.25%,9.47
https://matteogaruzzo.com/software/hospitality,1,312,0.32%,34.53
https://matteogaruzzo.com/blog/software-per-cantine,1,177,0.56%,17.69
https://matteogaruzzo.com/blog/siti-web-per-cantine,1,84,1.19%,9.46
https://matteogaruzzo.com/blog/vendita-internazionale-vino-dtc-export-estero,1,68,1.47%,27.41
https://matteogaruzzo.com/servizi/ecommerce-shopify,1,41,2.44%,18.34
https://matteogaruzzo.com/software/frantoi,1,35,2.86%,31.14
https://matteogaruzzo.com/settori/oleifici-food-tech,1,23,4.35%,27.48
https://matteogaruzzo.com/settori/wine-hospitality-agriturismi,1,20,5%,12.9
https://matteogaruzzo.com/contatti,1,18,5.56%,8.17
https://matteogaruzzo.com/blog/chatbot-cantina-ai-customer-service,1,10,10%,6
https://matteogaruzzo.com/servizi/siti-web-contatti,1,10,10%,35.7
https://matteogaruzzo.com/software/pricing,1,9,11.11%,31.44
https://matteogaruzzo.com/software/vitivinicolo,0,268,0%,37.64
https://matteogaruzzo.com/software,0,58,0%,45.17
https://matteogaruzzo.com/blog/agriturismo-booking-online-prenotazioni,0,50,0%,14.16
https://matteogaruzzo.com/blog/degustazioni-cantina-trasformare-visite-vendite,0,38,0%,9.63
https://matteogaruzzo.com/prenota-call,0,29,0%,7.41
https://matteogaruzzo.com/portfolio/tenuta-monteverdi,0,27,0%,9.89
https://matteogaruzzo.com/geo/lombardia,0,24,0%,12.79
https://matteogaruzzo.com/settori,0,20,0%,45.1
https://matteogaruzzo.com/geo/umbria,0,18,0%,10.61
https://matteogaruzzo.com/blog/storytelling-vino-marketing-vendite,0,17,0%,7.59
https://matteogaruzzo.com/servizi/automazioni-ai,0,17,0%,27.76
https://matteogaruzzo.com/blog,0,15,0%,26.07
https://matteogaruzzo.com/blog/agenti-ai-processo-commerciale,0,11,0%,29.45
https://matteogaruzzo.com/metodo/analisi-e-obiettivi,0,10,0%,8.5
https://matteogaruzzo.com/blog/comunicare-sostenibilita-cantina-marketing-vendite,0,9,0%,4.78
https://matteogaruzzo.com/blog/specialista-digitale-vs-web-agency-agroalimentare,0,9,0%,5.89
