url,fonti,http_status,redirect_to,azione_mappa,destinazione_mappa,esito
"/","codice + sitemap + search-console","200","","KEEP + REWRITE","/","OK"
"/blog","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog","OK"
"/blog/agente-ai-reparto-commerciale","codice + sitemap + search-console","200","","301","/servizi/digital-automation","OK"
"/blog/agenti-ai-processo-commerciale","codice + sitemap + search-console","200","","301","/servizi/digital-automation","OK"
"/blog/agriturismo-booking-online-prenotazioni","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/agriturismo-booking-online-prenotazioni","OK"
"/blog/bandi-incentivi-digitalizzazione-agroalimentare","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/chatbot-cantina-ai-customer-service","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/chatbot-cantina-ai-customer-service","OK"
"/blog/comunicare-sostenibilita-cantina-marketing-vendite","codice + sitemap + search-console","200","","MERGE","/blog/storytelling-vino-marketing-vendite","OK"
"/blog/cross-selling-upselling-cantina-scontrino-medio","codice + sitemap + search-console","200","","MERGE","/blog/degustazioni-cantina-trasformare-visite-vendite","OK"
"/blog/degustazioni-cantina-trasformare-visite-vendite","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/degustazioni-cantina-trasformare-visite-vendite","OK"
"/blog/ecommerce-for-frantoi","search-console","404","","301","/blog/ecommerce-per-frantoi","OK"
"/blog/ecommerce-per-cantine","codice + sitemap","200","","MERGE","/blog/ecommerce-vino-margini-vendita-diretta","OK"
"/blog/ecommerce-per-frantoi","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/ecommerce-per-frantoi","OK"
"/blog/ecommerce-vino-margini-vendita-diretta","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/ecommerce-vino-margini-vendita-diretta","OK"
"/blog/ecommerce-vino-vendite-dirette","codice + sitemap + search-console","200","","MERGE","/blog/ecommerce-vino-margini-vendita-diretta","OK"
"/blog/email-marketing-sequenze-automatiche-cantina-visitatori","codice + sitemap + search-console","200","","301","/servizi/digital-automation","OK"
"/blog/enoturismo-prenotazioni-online-vendite-dirette","codice + sitemap + search-console","200","","MERGE","/blog/degustazioni-cantina-trasformare-visite-vendite","OK"
"/blog/formazione-team-accoglienza-cantina-vendite","codice + sitemap + search-console","200","","MERGE","/blog/degustazioni-cantina-trasformare-visite-vendite","OK"
"/blog/gestione-fiscale-ecommerce-vino-iva-fatturazione","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/gestione-fiscale-ecommerce-vino-iva-fatturazione","OK"
"/blog/multi-canale-cantina-getyourguide-viator-ota","codice + sitemap + search-console","200","","MERGE","/blog/degustazioni-cantina-trasformare-visite-vendite","OK"
"/blog/pos-cassa-cantina-vendita-degustazione","codice + sitemap + search-console","200","","MERGE","/blog/degustazioni-cantina-trasformare-visite-vendite","OK"
"/blog/ridurre-no-show-prenotazioni-cantina-promemoria","codice + sitemap + search-console","200","","MERGE","/blog/degustazioni-cantina-trasformare-visite-vendite","OK"
"/blog/scegliere-partner-digitale-checklist","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/seo-geo-farsi-trovare-ai","codice + sitemap + search-console","200","","MERGE","/blog/seo-locale-agroalimentare-google-maps","OK"
"/blog/seo-locale-agroalimentare-google-maps","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/seo-locale-agroalimentare-google-maps","OK"
"/blog/shopify-velocita-conversioni","codice + sitemap + search-console","200","","301","/servizi/digital-commerce","OK"
"/blog/siti-web-per-agriturismi","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/siti-web-per-agriturismi","OK"
"/blog/siti-web-per-cantine","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/siti-web-per-cantine","OK"
"/blog/software-frantoi-gestione-ordini-crm","codice + sitemap + search-console","200","","301","/settori/olio","OK"
"/blog/software-per-agriturismi","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/software-per-agriturismi","OK"
"/blog/software-per-cantine","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/software-per-cantine","OK"
"/blog/specialista-digitale-vs-web-agency-agroalimentare","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/storytelling-vino-marketing-vendite","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/storytelling-vino-marketing-vendite","OK"
"/blog/tag/agribusiness","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/agriturismo","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/agroalimentare","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/ai","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/automazione","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/b2b","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/bandi","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/booking-online","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/brand","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/cantine","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/chatbot","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/consulenza","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/content-marketing","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/conversioni","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/crm","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/crm-agroalimentare","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/customer-service","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/degustazioni","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/e-commerce","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/e-commerce-vino","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/efficienza","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/email-marketing","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/enoturismo","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/export","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/farm-stay","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/finanziamenti-pmi","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/fiscalita","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/formazione","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/frantoi","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/freelance","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/freelancer","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/geo","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/gestionale","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/gestione-ordini","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/gestione-prenotazioni","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/google-maps","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/hospitality","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/incentivi","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/local-search","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/local-seo","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/loyalty","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/marketing","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/marketing-digitale","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/marketing-vino","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/olio","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/partner-digitale","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/performance","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/prenotazioni","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/pricing","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/processi","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/punto-vendita","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/revenue-ricorrente","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/seo","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/shopify","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/siti-web","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/software","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/software-frantoi","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/sostenibilita","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/storytelling","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/strategia","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/strategia-digitale","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/tecnologie","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/vendita-diretta","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/vendita-online","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/vendite","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/vino","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/web-agency","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/web-design","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/tag/wine-club","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/wine-tech","codice + sitemap","200","","DELETE","—","OK"
"/blog/tag/wine-tourism","codice + sitemap + search-console","200","","DELETE","—","OK"
"/blog/vendita-internazionale-vino-dtc-export-estero","codice + sitemap + search-console","200","","KEEP + REWRITE","/blog/vendita-internazionale-vino-dtc-export-estero","OK"
"/blog/wine-club-revenue-ricorrente-fedelta","codice + sitemap","200","","301","/servizi/digital-commerce","OK"
"/chi-sono","codice + sitemap + search-console","200","","301","/azienda","OK"
"/contatti","codice + sitemap + search-console","200","","KEEP + REWRITE","/contatti","OK"
"/cookie-policy","codice + sitemap + search-console","200","","KEEP + REWRITE","/cookie-policy","OK"
"/crediti-immagini","codice","200","","Da decidere","—","OK"
"/geo","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/basilicata","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/campania","codice + sitemap","200","","DELETE","—","OK"
"/geo/emilia-romagna","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/friuli-venezia-giulia","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/lazio","codice + sitemap","200","","DELETE","—","OK"
"/geo/liguria","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/lombardia","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/molise","codice + sitemap","200","","DELETE","—","OK"
"/geo/piemonte","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/sardegna","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/sicilia","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/toscana","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/trentino-alto-adige","codice + sitemap","200","","DELETE","—","OK"
"/geo/umbria","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/valle-daosta","codice + sitemap + search-console","200","","DELETE","—","OK"
"/geo/veneto","codice + sitemap + search-console","200","","DELETE","—","OK"
"/metodo","codice + sitemap + search-console","200","","MERGE","/azienda","OK"
"/metodo/analisi-e-obiettivi","codice + sitemap + search-console","200","","MERGE","/azienda","OK"
"/metodo/design","codice + sitemap + search-console","200","","MERGE","/azienda","OK"
"/metodo/strategia-di-settore","codice + sitemap + search-console","200","","MERGE","/azienda","OK"
"/metodo/sviluppo","codice + sitemap + search-console","200","","MERGE","/azienda","OK"
"/portfolio","codice + sitemap","200","","301","/settori","OK"
"/portfolio/azienda-rossi","codice + sitemap + search-console","200","","DELETE","—","OK"
"/portfolio/frantoi-san-lorenzo","codice + sitemap + search-console","200","","DELETE","—","OK"
"/portfolio/podere-la-vite","codice + sitemap + search-console","200","","DELETE","—","OK"
"/portfolio/tasting-flow","codice + sitemap + search-console","200","","DELETE","—","OK"
"/portfolio/tenuta-monteverdi","codice + sitemap + search-console","200","","301","/settori/vino","OK"
"/portfolio/wine-club-pro","codice + sitemap","200","","DELETE","—","OK"
"/prenota-call","codice + sitemap + search-console","200","","301","/contatti","OK"
"/privacy-policy","codice + sitemap + search-console","200","","KEEP + REWRITE","/privacy-policy","OK"
"/proposta/[id]","codice (dynamic, force-dynamic)","n/a (dynamic, id reale richiesto)","","DELETE","route rimossa","OK"
"/quiz","codice + search-console","200","","301","/contatti","OK"
"/referral","codice + sitemap + search-console","200","","DELETE (decisione aperta)","—","OK"
"/risorse","codice + sitemap + search-console","200","","DELETE","—","OK"
"/servizi","codice + sitemap + search-console","200","","KEEP + REWRITE","/servizi","OK"
"/servizi/automazioni-ai","codice + sitemap + search-console","200","","301","/servizi/digital-automation","OK"
"/servizi/brand-identity","codice + sitemap","200","","301","/servizi/digital-presence","OK"
"/servizi/consulenza-strategica","codice + sitemap + search-console","200","","301","/servizi/digital-presence","OK"
"/servizi/ecommerce-shopify","codice + sitemap + search-console","200","","301","/servizi/digital-commerce","OK"
"/servizi/restyling-ottimizzazione","codice + sitemap + search-console","200","","301","/servizi/digital-presence","OK"
"/servizi/seo-geo-strategy","codice + sitemap","200","","301","/servizi/digital-presence","OK"
"/servizi/siti-web-contatti","codice + sitemap + search-console","200","","301","/servizi/digital-presence","OK"
"/servizi/software-ai-su-misura","search-console","404","","301","/servizi/digital-automation","OK"
"/servizi/wine-club","codice + sitemap","200","","301","/servizi/digital-commerce","OK"
"/settori","codice + sitemap + search-console","200","","KEEP + REWRITE","/settori","OK"
"/settori/oleifici-food-tech","codice + sitemap + search-console","200","","301","/settori/olio","OK"
"/settori/wine-hospitality-agriturismi","codice + sitemap + search-console","200","","301","/settori/hospitality","OK"
"/settori/wine-viticulture","codice + sitemap + search-console","200","","301","/settori/vino","OK"
"/software","codice + sitemap + search-console","200","","DELETE","—","OK"
"/software/booking-experience","redirect (next.config.js) + search-console","308","/software","DELETE","— (oggi 301->/software, da aggiornare)","OK"
"/software/control-tower","redirect (next.config.js)","308","/software","DELETE","— (oggi 301->/software, da aggiornare)","OK"
"/software/frantoi","codice + sitemap + search-console","200","","301","/settori/olio","OK"
"/software/hospitality","codice + sitemap + search-console","200","","MERGE","/blog/software-per-agriturismi","OK"
"/software/lead-sales","redirect (next.config.js) + search-console","308","/software","DELETE","— (oggi 301->/software, da aggiornare)","OK"
"/software/pricing","redirect (next.config.js) + search-console","308","/software","DELETE","— (oggi 301->/software, da aggiornare)","OK"
"/software/social-ai","redirect (next.config.js) + search-console","308","/software","DELETE","— (oggi 301->/software, da aggiornare)","OK"
"/software/staff-operations","redirect (next.config.js)","308","/software","DELETE","— (oggi 301->/software, da aggiornare)","OK"
"/software/vitivinicolo","codice + sitemap + search-console","200","","MERGE","/blog/software-per-cantine","OK"
"/termini-e-condizioni","codice + sitemap + search-console","200","","KEEP + REWRITE","/termini-e-condizioni","OK"
